OBJECTID,NUMERO ESTACION,NOMBRE ESTACION,COORDENADA X,COORDENADA Y,UBICACION ESTACION,TRONCAL,NUMERO VAGONES,NUMERO ACCESOS,BICIESTACION,CAPACIDAD BICIESTACION,TIPO ESTACION,BICIPARQUEADERO ESTACION,LATITUD,LONGITUD,globalid,created_user,created_date,last_edited_user,last_edited_date,NODO ESTACIÓN,COMPONENTE WIFI,COMPONENTE APLIFICACION,shape,log_replica,coord_x,coord_y
2,06103,CAN,997610.0435,1005604.3582,Carrera 60,Calle 26,4,1,0,0,4,0,4.64688089,-74.09904759,{AD7C6926-90EC-428C-A4D8-46FBB826A717},,,,,6103,,,,,"-74,09904759157655","4,64688088834598"
16,05005,Transversal 86,991727.5244,1004202.4413,Av. Americas -tv. 86,Americas,4,1,0,0,4,0,4.63419961,-74.15206292,{D2034E56-C94F-49F2-9424-6E1420ADE93E},,,,,5005,,,,,"-74,15206291775439","4,6341996098597"
62,04105,Carrera 53,1000011.8313,1009468.0501,Carrera 53,Calle 80,1,1,0,0,4,0,4.68182095,-74.07740128,{C22094C6-83DE-4729-83F5-621B108355F9},,,,,4105,Valor SI al campo,,,,"-74,0774012808525","4,681820947494913"
123,09105,Fucha,997570.9003,998536.3008,Calle 13 Sur - Calle 16 Su,Caracas,2,1,0,0,4,0,4.58296368,-74.09939841,{97103412-19BE-41CE-95A1-23DBEAA6BD70},,,,,9105,Valor SI al campo,,,,"-74,09939841460566","4,582963683643927"
75,05002,Biblioteca Tintal,990919.5881,1004611.658,av.Cali - Calle 26 sur,Americas,4,2,0,0,4,0,4.63789939,-74.1593448,{0E3A8EE4-6B9A-4B1D-B3AC-3B44D3C3B26F},,,,,5002,Valor SI al campo,,,,"-74,15934479770586","4,637899388591951"
128,03005,Suba - AV. Boyacá,1000308.5759,1013840.5824,Av Suba Av Boyaca,Suba,2,2,0,0,4,0,4.72136212,-74.07472656,{2A589BA2-1BC9-412B-A19D-F9CCC1C1608A},,,,,3005,Valor SI al campo,,,,"-74,07472655725734","4,72136212165891"
126,14005,Las Aguas,1001010.4823,1000705.442,carrera 4,Eje Ambiental,1,2,0,0,3,0,4.60257975,-74.06840143,{F9FE2D46-3B0E-4573-B201-518759A3B60E},,,,,14005,Valor SI al campo,,,,"-74,06840142940928","4,602579748588839"
99,09106,Nariño,998178.1194,998903.6301,Calle 8 Sur - Calle 11 Sur,Caracas,2,1,0,0,4,0,4.58628563,-74.09392637,{99727137-A5A8-4796-BF0E-8229E8049A53},,,,,9106,Valor SI al campo,,,,"-74,09392636920184","4,586285631131533"
142,03009,Suba - Calle 116,1000850.8283,1011394.3153,Av Suba Cll 114,Suba,2,1,0,0,4,0,4.69924029,-74.06983919,{F9D7F2ED-8EA0-4C82-A2BC-279533BC3A5E},,,,,3009,Valor SI al campo,,,,"-74,06983918910407","4,699240290100464"
41,04003,AV. Cali,997472.661,1011753.227,Carrera 86,Calle 80,1,1,0,0,2,0,4.70248563,-74.10028756,{0A29C78C-F780-4F83-9044-35A0E18ABDC7},,,,,4003,,,,,"-74,10028755795503","4,70248562876873"
46,02502,Terminal,1003765.0206,1019088.4638,Calle 190,Autonorte,4,1,0,0,4,0,4.76881827,-74.04356946,{3E88BBD2-27DB-40DE-9C33-141ABAABE054},,,,,2502,Valor NO al campo,Valor SI al campo,,,"-74,04356945916098","4,76881826526496"
53,02001,Calle 187,1003672.4828,1018481.5753,Calle 184,Autonorte,4,1,0,0,4,0,4.76333017,-74.04440387,{A9C99311-4163-4E09-B7B4-E7650DD843C7},,,,,2001,Valor SI al campo,Valor SI al campo,,,"-74,04440387122433","4,763330173010426"
32,06102,Salitre - El Greco,997321.8892,1006045.3877,Carrera 66,Calle 26,4,1,0,0,4,0,4.65086908,-74.10164474,{0B54BC04-A361-418C-83A5-8D20E01679C6},,,,,6102,,,,,"-74,10164474091508","4,650869076932645"
