OBJECTID,Identificador de la manzana catastral,Clase de predio predominante,Grupo económico predominante,Avalúo catastral por manzana ($),Observación,GLOBALID,coord_x,coord_y
622,004208025,N,LOTES,998440,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{91317155-E24B-4A58-B4F9-F1C621FEC5B5},"-74,10339059942741","4,618139142569785"
625,004413036,N,LOTES,869311,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{935C09ED-6263-4E3D-A5B2-3ECB5C32E4FE},"-74,11994458972508","4,594845397611296"
634,004401007,N,RESIDENCIAL,1933072,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{91FFCA4A-C202-4991-9A69-0DA47B4A7E25},"-74,12456489316696","4,6053145073634445"
635,004401004,N,RESIDENCIAL,1845120,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{A95F05F8-3CAA-40D5-B7D6-C1C6EF1F8FC7},"-74,12331691596916","4,604432548722596"
642,004401015,N,RESIDENCIAL,1542132,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{4296574A-3586-4B7A-A760-D960B83DD88D},"-74,12377061845785","4,607127337680951"
644,004401017,N,RESIDENCIAL,1496000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{A757F40F-F3D6-46F0-A15E-1722E8C5A01B},"-74,12339190470611","4,606737420111653"
650,004403035,N,RESIDENCIAL,1356291,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{ACDBE6FA-DC5D-48F1-BB00-33C73D900037},"-74,12142196322444","4,596983763821116"
655,004211018,N,RESIDENCIAL,1509159,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{F311C5EF-7B89-44DD-A94F-DE17AA66B57E},"-74,10665564988552","4,6057750746053285"
664,004403060,N,RESIDENCIAL,1267233,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{304E518C-2C55-471B-88FF-77D269963E93},"-74,11919113353409","4,598739882744403"
665,004403058,N,RESIDENCIAL,1245715,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{30DACCBE-11C5-4BD8-BFED-A6B50156590C},"-74,11863119505205","4,599370748821988"
681,004403021,N,LOTES,1004802,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{DA48F5AE-6A72-4CC4-94ED-B268CA73D082},"-74,1194233930576","4,6008815611371725"
710,004308011,N,RESIDENCIAL,1588145,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{906ADC0A-DF25-4473-B7F3-8BC9C5B8A83B},"-74,11704822621166","4,618379719486669"
853,003107010,N,OTROS,3609347,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{68C8009D-F31A-4540-800B-917EAF616A67},"-74,08123790961744","4,600261161518027"
895,004403070,N,RESIDENCIAL,1296235,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{4BC7E01A-6FE2-4552-9CEC-562BD25C61ED},"-74,11957849383124","4,599443396649343"
989,004308009,N,RESIDENCIAL,1514971,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{0A1DA6B4-7A74-456E-A2E1-9B9606E3D929},"-74,11655664766621","4,618966734049069"
1005,004308010,N,LOTES,567000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{A526F384-3878-4928-BEDE-7744AB52829A},"-74,1168112969875","4,618675636332507"
1018,004404006,N,RESIDENCIAL,1050141,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{52A9B798-056E-443D-BDC7-93D3C912A23C},"-74,12546622551332","4,599412720715386"
1019,004404010,N,RESIDENCIAL,1244353,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{133315F1-61A1-4D9F-AFA8-ED68B1E66823},"-74,12324174506597","4,602223799499799"
1021,004404011,N,RESIDENCIAL,1324806,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{5172A944-D3A7-45FF-93D9-4E0230AF0B36},"-74,12270051914346","4,601661151899588"
1022,004404012,N,RESIDENCIAL,1258217,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{6ABB0B0C-B6EE-4C5D-BDFB-7D73B7851CEE},"-74,12292476376025","4,6025370297746155"
1061,006108012,N,BODEGAS,1705294,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{5989EAD7-1436-48AB-B86B-79DB4DF73CB8},"-74,08122875924279","4,619684035431071"
1108,004413009,N,RESIDENCIAL,2023712,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{9ED435E8-AD5D-4FC6-A5BC-0B108F006608},"-74,1159846960452","4,598152031300208"
1213,007202051,N,RESIDENCIAL,1937461,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{868E896D-66C6-478A-949A-BEC2D9CD24B5},"-74,07307654383163","4,647112070060647"
1228,004403030,N,RESIDENCIAL,1244400,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{71E2B88D-21CB-4DC0-95F3-7DD2FD5F3221},"-74,1213684725851","4,599074303894603"
1305,008103003,N,UNIVERSIDADES Y COLEGIOS,1988462,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{A92D539C-2AA7-4374-B663-3F9F1CAE1F4A},"-74,06644453992742","4,620147508715436"
1353,007202040,N,RESIDENCIAL,1977270,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{09667D7C-B419-4E15-9374-AD8D9DCB565D},"-74,07171035590991","4,644469027326065"
1399,004406037,N,RESIDENCIAL,1700000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{6881697B-EA74-4CDD-8FCB-09102476E193},"-74,12882403393483","4,60072304227642"
1448,007101014,N,OFICINAS,1989283,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{CABAF65E-2473-428E-9F4A-96ADCE13FEBA},"-74,0739620214944","4,6280743036867245"
1461,005111047,N,LOTES,1228469,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{FD9DE011-A6A5-42F4-9657-58F09F677C7F},"-74,09022744397828","4,646640967661622"
1495,004406040,N,RESIDENCIAL,1700000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{FC6D0B97-E8B3-412B-B9F4-66069B4B8642},"-74,12979858276266","4,599819957501513"
1581,002107069,N,RESIDENCIAL,1360000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{3FDBDA74-65A1-4B39-AC35-99E91D729637},"-74,1078993614268","4,594937740488437"
1825,002107075,N,RESIDENCIAL,1686356,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{AC0BA694-AD53-48F8-A0B2-CCE76D798614},"-74,10823550629694","4,5943283613243855"
2064,004406029,N,RESIDENCIAL,1700000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{21AAAA42-7CC4-4D63-9DDC-FFDF70D9F091},"-74,12815717140685","4,600716310200673"
2069,002104033,N,RESIDENCIAL,1559697,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{CB5C788D-48FF-4251-95D3-DD2A8BD3BB9C},"-74,10292790611335","4,591521011976011"
2118,007204016,N,RESIDENCIAL,1946010,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{A4FA0529-CD16-4DE3-A16D-2F55988FE20C},"-74,06907897882257","4,639356855092959"
2327,002102073,N,RESIDENCIAL,1509364,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{157673CC-2E4A-44CF-985B-9C15931966DA},"-74,09845317932854","4,59060436519628"
2438,006209006,N,HOTELES,2950112,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{B1F6228F-FD9F-4C46-BF4D-83DAB2851B22},"-74,09306338281131","4,631677340031984"
2505,004403040,N,RESIDENCIAL,1244400,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{3130DA71-1FEA-4E66-A5B6-341303DA73F1},"-74,12301723514683","4,596615205966671"
2597,004301004,N,OTROS,1472592,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{1A104A67-34FE-4111-9D07-959FA1EB428F},"-74,11239579809336","4,626085890471451"
2600,007107021,N,RESIDENCIAL,1853405,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{4610180C-3581-4E85-9EE7-7063BEE6B1DE},"-74,07904533296484","4,626535022755371"
2631,004302002,N,RESIDENCIAL,1567048,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{DF41186E-19E0-47C2-A05B-A2DDE0DD1DFC},"-74,11163345999925","4,6216497637185325"
2664,004205010,N,RESIDENCIAL,1457109,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{6FAF2108-D939-4BB2-912E-A514FA637310},"-74,1063676906275","4,614875043733088"
2696,004308012,N,RESIDENCIAL,1480222,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{D922D23B-998B-4074-86E8-F50D6935DB10},"-74,1173434576535","4,618035188388272"
2734,007106004,N,BODEGAS,1723901,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{F00E45DA-AB2D-4D78-9E53-F378366FA1FE},"-74,07577862812845","4,621483243421492"
2765,004208021,N,BODEGAS,2483133,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{30F8BE0B-CF51-4CFC-AB9D-7A4FE7C4561B},"-74,1036042492088","4,615625401169699"
2803,004105034,N,RESIDENCIAL,1264601,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{7BDCDF61-150F-4F4C-B9C9-7B6ACDA7C959},"-74,09099658829466","4,594750703955386"
2883,004206014,N,RESIDENCIAL,1496000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{CA6E3FE4-6046-433D-8BAB-80C771EF04BC},"-74,10877637025077","4,623072294987789"
2897,004405050,N,LOTES,1189132,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{CEE91C2B-64D6-4EB6-A5C1-A00753344C1F},"-74,13155898950524","4,597920594621511"
2910,004406053,N,RESIDENCIAL,1700000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{95F54FBB-F326-44B1-88EC-5C29CD600C31},"-74,13040137456588","4,600326956546296"
3005,004209020,N,RESIDENCIAL,1601361,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{6358D7EB-B11D-44F2-BC80-4EABF264F0DD},"-74,11043940179233","4,6031805061622615"
3063,003107002,N,OTROS,8562681,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{BB7E69A0-F470-4C29-B440-255DD568EA60},"-74,08086886384963","4,601307298660943"
3097,004206008,N,RESIDENCIAL,1532075,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{A05095F1-DEAC-400B-B0D6-23B5F46F17D1},"-74,1079252023631","4,62315288831301"
3190,004203002,N,RESIDENCIAL,1710163,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{010330C7-3EEB-451D-979E-8F240E2D7559},"-74,1019837162282","4,602822609871823"
3211,005107023,N,RESIDENCIAL,2215062,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{CD048FE7-0215-46D2-BCAD-E860D125954C},"-74,08046866481428","4,63308293605668"
3216,006201009,N,RESIDENCIAL,2214358,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{0F64213E-81F0-48AE-98F7-2789139D71C9},"-74,08599328560786","4,629100298631918"
3261,005107028,N,OFICINAS,1283500,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{B1042CD5-7492-42B8-BFFB-9EB37A857A73},"-74,08318653884436","4,631297965270671"
3326,006201024,N,RESIDENCIAL,2339884,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{9E541854-641D-4BF4-B4D2-403DD6B71A95},"-74,08502879782844","4,631687094152508"
3367,004207015,N,BODEGAS,1530000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{9DBC2F3E-99F3-4AAB-8ADE-290E2A42CE73},"-74,10372446849706","4,622120801184555"
3457,004304024,N,RESIDENCIAL,1442267,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{D9096FAD-1ED6-4300-B687-1224452949DB},"-74,1176460831152","4,616764330630666"
3460,002104069,N,RESIDENCIAL,1903532,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{CCF1A083-4CCB-45EC-8306-19842A0B2D1C},"-74,10654171217175","4,591013774454893"
3461,007101047,N,RESIDENCIAL,1828941,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{D4D037F6-850B-4D8F-A986-2174E3D4BE21},"-74,0776704848512","4,632324006624971"
3480,004207027,N,OTROS,1445000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{14904072-5E44-42D6-B299-AE8F52369735},"-74,10572786209511","4,621193980691068"
3556,004208030,N,BODEGAS,1436912,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{EB24DFB2-A674-46B6-90FC-7EBB53DAB6D9},"-74,10024197922769","4,619857625988368"
3595,006212012,N,BODEGAS,1260189,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{C2DBAB67-7824-4DC6-BCF4-CA771C10A2F2},"-74,11709127973648","4,633166828631881"
3600,006201035,N,RESIDENCIAL,1947257,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{9A254F2F-E7C8-4B95-A3D6-C1F9183FA978},"-74,08592083616142","4,632301941549553"
