OBJECTID,Identificador de la manzana catastral,Clase de predio predominante,Grupo económico predominante,Avalúo catastral por manzana ($),Observación,GLOBALID,coord_x,coord_y
43193,006201048,N,RESIDENCIAL,2567726,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{5F33EFB1-7C65-4B40-ACD4-B1BE7186CC2A},"-74,08951076661126","4,6321849700436655"
43466,004302010,N,RESIDENCIAL,1525673,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{AA216E80-087B-4CDC-AE4A-EF912660BBA3},"-74,11272671024905","4,622747024719784"
43495,007202049,N,RESIDENCIAL,1929558,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{C2C78A02-F868-4E07-AE0E-1893D6960BBE},"-74,07301306614893","4,643409807360144"
43499,006502063,N,RESIDENCIAL,1935031,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{F2EB659F-AF57-4191-A5DC-4211627EBF5A},"-74,1312636328756","4,630568521618261"
43593,002105007,N,OTROS,1721184,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{F4D52B60-ED79-4E94-AF1A-43050278C1EF},"-74,11131993315642","4,59442300369187"
43602,004205037,N,RESIDENCIAL,1428000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{29A99D40-0260-44FA-ADCA-1BCF40019927},"-74,1103080177429","4,613686555119362"
43606,004205064,N,RESIDENCIAL,1572296,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{00D1CA9D-D4C1-453B-9B12-30C3E5F5543B},"-74,10863347577454","4,615553719201234"
43607,004205076,N,RESIDENCIAL,1653138,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{B6C3DAB8-9DA2-43E9-8BA6-CD34AE271AC3},"-74,1114472759972","4,613868333146297"
43628,004308006,N,RESIDENCIAL,1410534,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{BDBCEBD2-B501-41C6-83E0-DF8C1C98B207},"-74,11884603799611","4,619491462419838"
43632,004308026,N,RESIDENCIAL,1515416,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{B4B56AEF-36C1-437D-898A-5F428684EA6C},"-74,11596201661403","4,621455287227703"
43636,004308048,N,LOTES,1136208,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{FA7C5F6A-9C2A-4C04-A9DF-A3793858E3C4},"-74,11460722187425","4,62484961247658"
43685,002102058,N,RESIDENCIAL,1415974,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{AD32B4FC-B719-4CE7-B803-E5DC64C24352},"-74,09606415475056","4,592542569615354"
43747,006105012,N,LOTES,1270552,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{92FEB399-7CE6-4E7F-BBF5-4B77508BC553},"-74,08210365962492","4,607308217729682"
43795,004202001,N,BODEGAS,1589545,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{3C7210E4-2791-4441-8560-E93AF80526AE},"-74,09882787713336","4,606645764093785"
43797,004202012,N,RESIDENCIAL,1514206,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{81E7A6F3-B413-448D-A171-F41D8454AB57},"-74,1011095662413","4,604722388638403"
43803,006215009,N,BODEGAS,1847615,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{54637442-5809-4798-A2AC-A521D310C40F},"-74,1067876976696","4,631707344434059"
43805,006215013,N,BODEGAS,2268261,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{E42634C6-CA35-45F3-8626-800FFD125D50},"-74,10888899610269","4,629334857638013"
43806,006215016,N,BODEGAS,2081102,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{35CC2193-F4D6-4CBE-8E36-81AAC8E9795F},"-74,1079792837438","4,631355746283354"
43807,006215018,N,RESIDENCIAL,2112061,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{000F34AC-3FF2-4818-97A7-176ED54C4013},"-74,10882880653516","4,630459804410554"
43810,006215029,N,COMERCIO,1896340,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{C0C66C69-A167-471D-9D1D-EA0C320D5DC2},"-74,10900776270718","4,632233712108905"
43814,006215041,N,BODEGAS,1296606,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{D552CA75-9B79-454A-90B3-CA9FAE4A3FA4},"-74,1113646569591","4,632678021376445"
43815,006215054,N,BODEGAS,1623004,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{34751284-5E1D-4210-A441-0C473D36B331},"-74,1061709100774","4,631160981969761"
128,004551003,N,RESIDENCIAL,943299,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{5F556D15-B69F-47DA-A970-E5C29595E071},"-74,12856594425317","4,624382528655487"
244,004402010,N,RESIDENCIAL,1337805,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{BA14DCE3-770A-4EAD-B962-F93E01CB1D1F},"-74,11346725878732","4,602914355422723"
247,004404050,N,LOTES,887771,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{E00BB8DD-2D4B-4AB9-89C4-ACE5427770DC},"-74,12962497450599","4,59565299931703"
252,004404051,N,RESIDENCIAL,1668753,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{600F7253-8EF6-405F-8E12-D818BC28704D},"-74,12253148201619","4,602877130993654"
310,004308027,N,RESIDENCIAL,1489559,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{3765BC0E-5AA0-4811-8C9A-C5D9F53DA4FA},"-74,1164049230689","4,621250015707277"
393,004406009,N,RESIDENCIAL,1700000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{3F637F7B-24BD-4C51-977C-FC9732E1AB9A},"-74,12741798192073","4,599840507427546"
395,004406014,N,RESIDENCIAL,1700000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{C1C24424-7D05-4416-BEBF-C6EA7F021294},"-74,12867968866043","4,598251954581486"
396,004406015,N,RESIDENCIAL,1700000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{FC31427C-F31B-4E4D-B116-5AAF9A6B30CA},"-74,1289158518874","4,598009625578096"
408,004405012,N,RESIDENCIAL,1700000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{B4D0FD9A-2CB5-41B1-9E4C-EB0962DFBFD8},"-74,13076839241212","4,595726330896079"
420,004304016,N,RESIDENCIAL,1437279,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{E9C36825-DA1D-4D26-9EDB-C877ACADB28C},"-74,11868890838208","4,615229243773827"
433,004309037,N,RESIDENCIAL,1506641,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{055DF8C4-3890-46B7-B5A6-F12E4585D539},"-74,11991772981034","4,609145237385708"
457,004304057,N,UNIVERSIDADES Y COLEGIOS,1035300,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{35082CF6-349D-4049-9815-CFDFB75F6C74},"-74,12267265139972","4,617390746861632"
460,008106029,N,RESIDENCIAL,400036,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{44F824F0-2CAC-4DFC-BA3C-52E42CBC9454},"-74,06537915493254","4,606809552753145"
470,004309021,N,RESIDENCIAL,1509403,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{30551CD0-DF3E-4ACC-88EC-57CD1BC27534},"-74,11817791284744","4,610778821856999"
482,004402065,N,LOTES,606253,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{403CD843-5048-439F-9AFB-5D87C3E26E46},"-74,1184642277306","4,605904076183272"
495,004405086,N,LOTES,675000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{697F654A-5EE1-48B9-AD5A-8D1858E35520},"-74,13060801745807","4,597660327164746"
496,004405087,N,LOTES,675000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{F9FBA0CE-636D-4A47-8B00-B5CCC13F5F73},"-74,13101022467022","4,597483758560531"
498,004406003,N,RESIDENCIAL,1784973,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{089D7219-5C24-42E5-AADA-E9BD7A5F3977},"-74,12758222258468","4,598978549137637"
523,004405041,N,RESIDENCIAL,1700000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{64F746B5-3695-46C5-9E5B-918C1DDD3B15},"-74,13125372475646","4,597661213859374"
525,004405049,N,RESIDENCIAL,1290307,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{CFF8A350-3E43-4C86-828C-2A695D157B96},"-74,13129829548213","4,598208166438862"
551,004406004,N,RESIDENCIAL,1736140,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{D2B6850F-E73D-40EA-944E-00F8AA2E20C9},"-74,1279268792337","4,598735189675716"
573,004403042,N,RESIDENCIAL,1260003,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{5834FEB7-73E9-48BD-926F-29199F235AD9},"-74,12333798359657","4,5963144606780935"
576,004403047,N,RESIDENCIAL,1340882,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{271445FC-AB9F-4BE7-A88B-48E6DE4834FE},"-74,12371721929672","4,595167261742878"
577,004403051,N,RESIDENCIAL,1297011,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{4AB5C808-72FA-4E84-B86D-CC1511B81671},"-74,12446216156606","4,594620985857063"
579,004212002,N,LOTES,716521,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{700DF0E3-142F-4A78-A78B-7A16387169C3},"-74,10957172089364","4,611451915615862"
608,004406047,N,RESIDENCIAL,1700000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{5DBC4E36-275F-4C83-8B51-72C0ED4B56F0},"-74,1301175766415","4,600165907399513"
613,004406054,N,RESIDENCIAL,1700000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{E835D087-5D6D-478E-B4E2-58AE94D5625A},"-74,13067350818811","4,600113085671356"
614,004406055,N,RESIDENCIAL,1700000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{716DA2A3-C6AF-4DC9-B911-87430D6139ED},"-74,129302910822","4,601856927227424"
616,004304075,N,RESIDENCIAL,1455704,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{67C5818C-47FB-4FA9-B55A-A0E17B91334F},"-74,12271641973575","4,62175227901019"
618,004211024,N,RESIDENCIAL,1398809,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{EE4D1758-D1CC-4E59-BF11-D71F83FA81AA},"-74,10726761019649","4,603972941070611"
621,003201019,N,RESIDENCIAL,707173,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{6BDF1A37-186C-464E-9DAF-B178977AC305},"-74,08548185797851","4,593235897310566"
641,004401013,N,RESIDENCIAL,1530289,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{168E2B2D-E3B6-4499-B086-E503FC05DA2A},"-74,12408812994155","4,6068055788555125"
648,004403033,N,RESIDENCIAL,1269915,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{DCC49FE0-FCAA-4734-93F6-2F7DAA0994E2},"-74,12150686425214","4,597684934958148"
653,004211020,N,RESIDENCIAL,1510389,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{A7480DA5-DA3D-4BBA-9DE0-D2C76CFE2B8D},"-74,10776546398274","4,6043439675552715"
672,004212019,N,LOTES,567000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{9F4990B3-0CF8-4196-8D1C-B03E20A8F516},"-74,10891691397978","4,610859719667871"
677,004403016,N,LOTES,644384,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{B70700F9-C653-46B0-8FA9-95C1F16648B1},"-74,1211596822204","4,601581164816929"
679,004403018,N,RESIDENCIAL,2053114,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{9C4AEBE9-819F-4CE1-A1C4-0190889C8ED5},"-74,11996887142138","4,601259491702151"
684,004406022,N,UNIVERSIDADES Y COLEGIOS,1232500,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{81AFCF0B-F639-48BF-B5CB-D04FE4377E56},"-74,12990168688047","4,598172846736975"
688,004406034,N,RESIDENCIAL,1605311,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{A116C27D-6FDE-4903-877D-BCBAB6CDB8F5},"-74,12902127526364","4,59721479197115"
699,004403025,N,RESIDENCIAL,1256252,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{5A29BD1F-C843-469C-AB82-E69DE8FDBA5F},"-74,12267082375855","4,599689444423304"
704,004403027,N,RESIDENCIAL,1275311,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{934E1CC7-1F49-40FB-BB89-42FBAA22C8DB},"-74,12229192165556","4,5988647195319015"
730,005106005,N,RESIDENCIAL,2635000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{BB160803-2488-42A4-AF35-1AC6215F95CC},"-74,08029183443129","4,64395734065649"
875,004105061,N,RESIDENCIAL,951543,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{1DD66E31-FABA-4FF6-978B-C95E996CFCA6},"-74,09394511192396","4,595673597153804"
931,004403073,N,RESIDENCIAL,1493127,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{1D411AE4-E791-49CC-B372-28AB6E17C96C},"-74,11924876598452","4,600439674491107"
940,004404002,N,RESIDENCIAL,1092911,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{3C630727-63E8-4268-85C3-7FB4A034F92D},"-74,12584586876682","4,598586254702544"
968,004404008,N,RESIDENCIAL,1027971,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{CCCF2EBE-06B8-45D5-88D2-336098A948B7},"-74,12439507040389","4,599238024423231"
982,004302007,N,RESIDENCIAL,1554808,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{F3EFD74D-7260-4C99-AA52-AB8D03238E5D},"-74,11322552570763","4,620917085809209"
1020,004404003,N,RESIDENCIAL,1274787,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{B5CA15A1-D149-4B52-8A67-300F1209DEEB},"-74,12534494429576","4,598104724671767"
1023,004404013,N,RESIDENCIAL,1309277,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{93298ABA-1685-4DF0-8C3E-99F703405257},"-74,1223918451865","4,601979919768927"
1024,004404004,N,RESIDENCIAL,987201,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{AB5046B9-3128-456D-95B5-B4B4B6E9B9F1},"-74,12557405463582","4,59891654998418"
1063,004404017,N,RESIDENCIAL,1244400,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{0627BAFD-ABE6-4397-BE34-8A3323BEEBBE},"-74,12371759643611","4,6014071934304654"
1227,004403004,N,RESIDENCIAL,1225964,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{D88BB66B-7E83-49B2-BDE8-E3202E264A27},"-74,12445248916437","4,598191145099782"
1322,004501086,N,RESIDENCIAL,1263970,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{11F01DAE-044D-4D1E-8BA6-FDD713790B83},"-74,12676642504066","4,6265350653612325"
1441,004207005,N,BODEGAS,1513380,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{D343BF8F-2308-4571-A041-39CFF85393FA},"-74,10321038674493","4,6205700192557195"
1452,006108017,N,BODEGAS,1679276,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{38A10CC8-2825-403E-9A22-94D8DD5B88CB},"-74,08111386568898","4,620881291343478"
1481,007204008,N,RESIDENCIAL,2048468,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{AC720540-6A93-4694-9CD8-27CD670D8640},"-74,06791783154056","4,640128542747606"
1603,004204008,N,RESIDENCIAL,1515436,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{9AAC5BFE-68AB-42F8-BA83-CC10D15858C5},"-74,11376289474066","4,6127171662944955"
1645,004202024,N,UNIVERSIDADES Y COLEGIOS,1617062,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{8CF927D7-54EB-401E-A8A2-887B3B418E49},"-74,10098855636305","4,60818527515469"
1694,003201007,N,OTROS,976125,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{7071E972-0862-451C-8FF7-977E2FBA8ADC},"-74,08774621825025","4,592634602646627"
1751,003203050,N,LOTES,247500,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{90CE059C-5A1E-4A52-B206-F8F6775C5925},"-74,07660824562238","4,59010902849196"
1752,003203048,N,LOTES,247500,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{11915763-CB2B-4BE5-ADC3-4AE9D9E8893C},"-74,07682447428344","4,590178243569393"
1815,004402035,N,RESIDENCIAL,1672164,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{1612281B-CEF2-4506-9D50-E4625C84F782},"-74,10932057911668","4,599757073261713"
1856,006307019,N,BODEGAS,1487505,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{9FC49A51-E1B3-4CBA-BDE8-53B1E4DAF3FC},"-74,11866145620564","4,648824455312645"
1870,006217045,N,LOTES,1742910,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{9267621B-41F6-4B07-B34F-C8543B75C058},"-74,10641698783864","4,64804659422648"
1900,005106019,N,RESIDENCIAL,2635000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{A38F323C-09B6-47CE-8D4D-32A56E447BD5},"-74,0821434386743","4,645772814696056"
1901,004204050,N,RESIDENCIAL,1551856,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{A4DB9EC0-F5D6-44B4-8011-7B8614438867},"-74,11332742592775","4,609764711457571"
1976,008111009,N,UNIVERSIDADES Y COLEGIOS,1283500,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{CB0F8414-454B-4509-8AA6-A058449872D8},"-74,06433655052535","4,626567666906966"
2083,002107019,N,RESIDENCIAL,1422375,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{F65ACCF0-68A5-49A4-8260-407E510A1E42},"-74,10791999958461","4,594123620450568"
2095,007209008,N,UNIVERSIDADES Y COLEGIOS,1587929,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{4E364E42-87FA-4C04-BD05-2FBC2B135A4D},"-74,0710876407557","4,636738807610954"
2145,004102016,N,OTROS,2048181,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{03E09DD1-CC15-40A1-8CDF-9D695D8F4907},"-74,0878709243708","4,609916958279035"
2301,007204007,N,OTROS,2141751,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{92023A78-806C-4808-89EF-B548A63149B0},"-74,06777295931596","4,64113943822425"
2346,006103057,N,RESIDENCIAL,1257962,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{196266E6-ABCF-45D2-AA01-04CE116D74C3},"-74,08046498546496","4,616233287697464"
2354,004305019,N,RESIDENCIAL,1711731,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{CF4A892D-9696-4E46-8751-585E4F45B437},"-74,12294919697398","4,624026015134166"
2414,004107022,N,RESIDENCIAL,1552732,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{CFB7FBF9-F560-4703-9083-09744C4FD741},"-74,10213630515753","4,59645421546219"
2425,007104048,N,COMERCIO,1955000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{D3254AE7-CB30-4E5D-A2C5-59EC43998910},"-74,07596413171673","4,623861198174466"
2502,004110001,N,COMERCIO,2885742,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{C445948E-AD18-4272-B9A6-B9CE5FD478EF},"-74,08663062226177","4,605099630783007"
2503,004403037,N,RESIDENCIAL,1362644,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{8DCB56FE-CA42-4EA2-B894-CF4044286A51},"-74,12178512940264","4,596678168558278"
2601,004206004,N,RESIDENCIAL,1539986,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{8804C69A-F5EF-43EC-A83E-4EB418F446BD},"-74,10737406663041","4,622034868114536"
2617,007205043,N,OFICINAS,1982646,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{4A5CEF2C-1D4E-431F-B308-DEADE33291B4},"-74,0752747314104","4,636413828923717"
2687,003107024,N,LOTES,110089,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{D8BDBB3F-AF02-4AFA-9D34-E39A9B009FAB},"-74,08144227376776","4,597468383212863"
2735,007106005,N,BODEGAS,1866392,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{A334AC88-CA98-465E-A526-5A6B28E719AF},"-74,07502816163955","4,619640759715535"
2750,006215055,N,OFICINAS,1084600,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{604C36FB-E7C1-4DD4-8D88-DF07AE275EE5},"-74,10733803284317","4,635423747956693"
2809,004206067,N,RESIDENCIAL,1369247,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{33BF0FF3-4806-4ED8-A982-43C78C1313B3},"-74,1089260872357","4,61937268821296"
2824,004206049,N,RESIDENCIAL,1496000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{7F895593-808B-4D2C-B128-F18244D5A0B9},"-74,1087806372734","4,623793237524161"
2842,004202042,N,OTROS,1944215,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{67D7CC44-C5C8-4327-BBAB-AF33D43834C2},"-74,10014271473818","4,604949439283048"
2891,004202011,N,RESIDENCIAL,1513279,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{BA147B32-4296-4044-886E-51281BDAC129},"-74,10053067648921","4,605435066316911"
2905,003215048,N,RESIDENCIAL,128687,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{891A5322-0E00-4B27-91C5-057F22653012},"-74,06551069095579","4,591739876131768"
2974,004205038,N,RESIDENCIAL,1530469,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{91F8325A-6AEF-4B15-9A3E-3E5D8322DBF1},"-74,11102034015511","4,615633395421779"
3048,002102069,N,RESIDENCIAL,1439905,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{42FC0340-AA75-4F94-A9F9-E5ACE7CD3C8A},"-74,09772524737575","4,5911921915632945"
3065,004406011,N,RESIDENCIAL,1700000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{AEA6A066-6F3D-4DCC-A0CB-42DC9996EEA6},"-74,12793417768421","4,599250120723802"
3141,004211027,N,RESIDENCIAL,1454172,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{0757707F-A088-447C-8B7F-C73386B40693},"-74,1056551144202","4,605256664639501"
3181,005107013,N,LOTES,810000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{006330F5-C851-404C-A704-CDA2DEA5CB6D},"-74,0825618863384","4,6297028774947355"
3217,004102013,N,COMERCIO,1865798,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{76438575-C945-48E9-A130-A01964F8EADA},"-74,0874001298462","4,60953330369414"
3254,004207003,N,BODEGAS,1504596,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{9B4388F8-D8D8-4ED8-B159-42593561982C},"-74,1020538533559","4,620643913572644"
3257,004102014,N,UNIVERSIDADES Y COLEGIOS,1328293,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{39F70020-D959-4704-A03D-CD4F1CD85371},"-74,08804568311572","4,608667203378735"
3282,003203023,N,RESIDENCIAL,743018,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{B40A9E26-CDF2-49CB-9DDC-6869703C0CEC},"-74,0751858458047","4,590631440430364"
3321,006201015,N,RESIDENCIAL,2296711,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{8E1D77B8-F59B-4723-8B85-D8554BE3C225},"-74,08630265441167","4,629555678463357"
3322,006201016,N,RESIDENCIAL,2425305,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{EF8CC2E5-181B-4A8B-A795-0C212783144B},"-74,08708310017795","4,629035874463552"
3323,006201019,N,RESIDENCIAL,2300042,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{5CE479B8-A990-44F2-B88F-B7BBB08772A3},"-74,08513494665321","4,630932531321057"
3357,006208023,N,LOTES,1201622,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{BCE055DB-03C4-49C7-8668-45D64F780A13},"-74,09657006088692","4,632439084192058"
3365,004207010,N,BODEGAS,1502197,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{9C237C16-AC05-40B8-B6F2-56C344C34D16},"-74,10315268430314","4,621606431328015"
3391,005107009,N,LOTES,702000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{C9EAC984-4B70-4D7F-AC69-9D5E69E489C2},"-74,08119782968704","4,630654103037677"
3455,002102060,N,RESIDENCIAL,1340871,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{B089A3D8-282E-4044-8602-548771D06DEF},"-74,09669938454888","4,591766636581447"
3478,004207020,N,BODEGAS,1482505,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{A6FDE55A-9BBC-441F-90AB-A7B5D701AA4F},"-74,10450151173457","4,622799034838299"
3495,006104028,N,OTROS,908584,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{F7313D60-F460-405C-A742-703A4426BD95},"-74,07978820393886","4,610421214190968"
3496,006104031,N,COMERCIO,894704,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{391B5318-9B85-4915-95C9-7107F70CEB0F},"-74,08038472425889","4,6109979059731945"
3499,004103020,N,"CLINICAS, HOSPITALES, CENTROS MEDIC",2775353,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{133CA53A-A62C-498C-AFD4-B3245F935D51},"-74,08348210492058","4,605628324612378"
3571,004503088,N,LOTES,540000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{95527930-3ABF-4DFE-A978-5597AFFEBDB7},"-74,12801448270588","4,614803333361703"
3633,006201037,N,RESIDENCIAL,2184000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{C8C0ADF2-F407-4552-B033-5BF7E8C2CDC2},"-74,08753850264408","4,631441019219863"
3635,006201040,N,RESIDENCIAL,2184000,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{D9DEC8DE-71A2-4395-A191-62F03F616ACA},"-74,08781539639307","4,631861432857816"
3654,002107015,N,RESIDENCIAL,1438888,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{9EABDB6B-1582-4E1A-8C18-4F04B64288B9},"-74,10832702998563","4,595140217257337"
3702,004102008,N,OTROS,1491232,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{ECCE47F4-34D4-44D5-980B-5F7C1BB65467},"-74,08770411517743","4,6069946749595445"
3728,006201004,N,BODEGAS,2505189,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{459D6DAD-3F40-4D86-9E58-7CA4517BC8F2},"-74,0849301778571","4,6291931541005935"
3766,006103058,N,RESIDENCIAL,1266333,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{3A08A3C0-B430-4314-8DF7-9BD88F8F77A0},"-74,08082942682987","4,615714677204564"
3767,006103060,N,LOTES,369478,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{A2FD002F-B014-4401-8563-E357C2A69FA0},"-74,07861070595823","4,618513284866155"
3777,006106023,N,BODEGAS,1592475,Este valor corresponde a la mediana y puede diferir del valor puntual de cada predio,{997668DF-0539-4298-898D-5019E6AF178C},"-74,0855754488095","4,610667518290568"
